review_text
The product was delivered without any damage or scratches.
"Hot wash not working
I have buy it one month back, iam not happy with this producet"
Nice and very use full product in budget
"This machine has voltage fluctuation sensor, if your house has voltage drop less than 200V you can't use this machine. Idle box it is.

Technician tells no brand warranty of we use hard water, not follow cleaning powder bh Whirlpool. They are making threat to use Whirlpool product. 16k machine, they guided me for 2.5 k stabilizer , 2k hard water filter, 1.5K stand and scale remover monthly clean 1k.

Pathetic experience. Demo person came and ran in demo mode and told your building has voltage fluctuation and you need to purchase stabilizer.

Next day I tried switching on its a warning and running. I need to turn off fan and switch on WM, else house supply has voltage issue - corrected little from 170-195V.

Washing machine is doing its work good, technician already broken the warranty by words - warranty will not be covered if not using any of above filter/ stabilizer etc.

Let's hope for the best and complete the needs is the state, I'm in."
"I've been using this washing machine for a months now. While it performs its core job well and washes clothes properly, the build quality is very disappointing. The exterior is made of low-quality plastic that doesn't feel durable. More frustratingly, the ""rat mesh"" provided is ineffective; rats managed to bite through it within the first month. If you live in an area where pests are a concern, be prepared to invest in additional protection. It works, but the materials used are definitely subpar for the price."
Item was working fine for last 8 months but found leakage from bottom.Technician visited site when he opened its found that outlet pipe was broken inside and repaired before delivery of product.Now they are requesting 150 rs for that pipe which was delivered faulty.
"Never buy whirlpool products, they are not easy to repair if anything happens to the product. Just making delay and delays it takes them 2 months to resolve the issues in the products. Frustrating experience from Service centers and customer cares both"
"Recently I ordered whirlpool 7.5Kg StainWash Magic Clean Pro In-built Heater Fully Automatic Top Load Washing Machine, there is no damage on package or product. All in good condition!. I was very satisfied with the product i received. But Detergent Cup is missing in the package. Otherwise there is no issue!.
Installation also very well & good by Whirlpool company. Technician was very polite & very good in behavior.
I give 10/10 for product & installation."
The best. Must buy for nuclear family.
"2time also, delivered damaged good.

Worst choose and bad delivery machanism and worst courier partner.

This is second time during the month"
The product was delivered without any damage or scratches.
"Hot wash not working
I have buy it one month back, iam not happy with this producet"
Nice and very use full product in budget
"This machine has voltage fluctuation sensor, if your house has voltage drop less than 200V you can't use this machine. Idle box it is.

Technician tells no brand warranty of we use hard water, not follow cleaning powder bh Whirlpool. They are making threat to use Whirlpool product. 16k machine, they guided me for 2.5 k stabilizer , 2k hard water filter, 1.5K stand and scale remover monthly clean 1k.

Pathetic experience. Demo person came and ran in demo mode and told your building has voltage fluctuation and you need to purchase stabilizer.

Next day I tried switching on its a warning and running. I need to turn off fan and switch on WM, else house supply has voltage issue - corrected little from 170-195V.

Washing machine is doing its work good, technician already broken the warranty by words - warranty will not be covered if not using any of above filter/ stabilizer etc.

Let's hope for the best and complete the needs is the state, I'm in."
"I've been using this washing machine for a months now. While it performs its core job well and washes clothes properly, the build quality is very disappointing. The exterior is made of low-quality plastic that doesn't feel durable. More frustratingly, the ""rat mesh"" provided is ineffective; rats managed to bite through it within the first month. If you live in an area where pests are a concern, be prepared to invest in additional protection. It works, but the materials used are definitely subpar for the price."
Item was working fine for last 8 months but found leakage from bottom.Technician visited site when he opened its found that outlet pipe was broken inside and repaired before delivery of product.Now they are requesting 150 rs for that pipe which was delivered faulty.
"Never buy whirlpool products, they are not easy to repair if anything happens to the product. Just making delay and delays it takes them 2 months to resolve the issues in the products. Frustrating experience from Service centers and customer cares both"
"Recently I ordered whirlpool 7.5Kg StainWash Magic Clean Pro In-built Heater Fully Automatic Top Load Washing Machine, there is no damage on package or product. All in good condition!. I was very satisfied with the product i received. But Detergent Cup is missing in the package. Otherwise there is no issue!.
Installation also very well & good by Whirlpool company. Technician was very polite & very good in behavior.
I give 10/10 for product & installation."
The best. Must buy for nuclear family.
"2time also, delivered damaged good.

Worst choose and bad delivery machanism and worst courier partner.

This is second time during the month"
The product was delivered without any damage or scratches.
"Hot wash not working
I have buy it one month back, iam not happy with this producet"
Nice and very use full product in budget
